search_term,impressions,clicks,conversions,ctr,conversion_rate
cheap train tickets,7770,71,63,0.009,0.887
train tickets to london,1360,302,130,0.222,0.43
london to manchester rail,5890,797,50,0.135,0.063
student railcard discount,5691,906,134,0.159,0.148
buy railcard online,6234,1634,20,0.262,0.012
train times birmingham to london,6765,524,72,0.077,0.137
discounted rail fares,966,1132,166,1.172,0.147
rail ticket offers,4926,560,17,0.114,0.03
seo agency birmingham,6078,1755,131,0.289,0.075
best seo tools 2025,8822,1549,88,0.176,0.057
seo for ecommerce sites,2185,749,59,0.343,0.079
link building services uk,1269,1025,13,0.808,0.013
technical seo checklist,7449,1856,8,0.249,0.004
on page optimization tips,2933,239,89,0.081,0.372
google ads expert,5811,1007,52,0.173,0.052
ppc agency london,5551,736,129,0.133,0.175
best ppc bidding strategy,6920,1007,83,0.146,0.082
how to increase quality score,1684,612,91,0.363,0.149
negative keywords examples,5055,1949,110,0.386,0.056
facebook ad copy ideas,3885,1640,187,0.422,0.114
apple
banana
orange
car
truck
bus
